run_id,suction_pressure_kpa,discharge_pressure_kpa,flow_rate_gpm,rated_flow_gpm,specific_gravity,pump_efficiency_pct,context
RUN-001,97.5,247.6,112.7,194.9,1.168,87.4,Routine operating record
RUN-002,163.4,392.6,149.6,211.6,0.989,64.7,Routine operating record
RUN-003,146.3,483.5,197.4,227.4,1.153,59.0,Routine operating record
RUN-004,128.2,480.3,170.5,189.2,0.923,86.7,Routine operating record
RUN-005,141.8,500.2,107.1,214.4,0.933,79.9,Routine operating record
RUN-006,163.1,484.6,144.8,165.0,0.979,74.2,Routine operating record
RUN-007,163.1,468.6,85.7,165.0,1.036,68.4,Routine operating record
RUN-008,139.6,477.3,124.4,212.4,0.946,62.2,Routine operating record
RUN-009,85.4,425.9,68.4,183.8,1.174,63.5,Routine operating record
RUN-010,147.1,274.5,106.2,157.0,1.138,71.8,Routine operating record
RUN-011,156.0,513.2,168.7,191.6,1.009,67.4,Routine operating record
RUN-012,129.1,348.7,103.8,173.1,1.141,62.8,Routine operating record
RUN-013,116.9,263.9,142.1,202.6,1.039,74.2,Routine operating record
RUN-014,82.9,340.9,131.0,178.4,1.084,85.7,Routine operating record
RUN-015,159.2,426.2,87.4,219.0,0.883,77.9,Routine operating record
RUN-016,154.8,350.4,120.4,175.4,0.855,84.6,Routine operating record
RUN-017,112.3,460.3,95.5,175.3,0.946,76.5,Routine operating record
RUN-018,138.5,477.3,177.0,203.8,0.887,79.8,Routine operating record
RUN-019,154.7,361.9,188.9,210.5,1.073,72.7,Routine operating record
RUN-020,102.9,428.6,151.2,182.4,1.084,86.3,Routine operating record
RUN-021,151.0,340.1,86.3,161.4,0.882,62.5,Routine operating record
RUN-022,73.1,377.8,113.4,160.4,0.913,86.1,Routine operating record
RUN-023,132.3,292.8,106.5,199.5,0.971,81.8,Routine operating record
RUN-024,97.5,315.5,110.8,171.5,0.85,73.9,Routine operating record
RUN-025,129.7,294.9,111.5,203.6,1.145,69.2,Routine operating record
RUN-026,116.9,321.1,132.7,177.3,0.966,84.2,Routine operating record
RUN-027,89.7,360.9,130.1,160.0,0.862,68.7,Routine operating record
RUN-028,166.6,438.0,133.0,224.6,1.105,68.2,Routine operating record
RUN-029,136.6,349.1,81.1,209.2,1.008,85.1,Routine operating record
RUN-030,78.7,244.0,120.7,221.5,1.056,74.3,Routine operating record
